system:time_start,undefined
"Jan 1, 2013",0
"Jan 2, 2013",0
"Jan 3, 2013",0
"Jan 4, 2013",0
"Jan 5, 2013",0
"Jan 6, 2013",0
"Jan 7, 2013",0
"Jan 8, 2013",0
"Jan 9, 2013",0
"Jan 10, 2013",0
"Jan 11, 2013",0
"Jan 12, 2013",0
"Jan 13, 2013",0
"Jan 14, 2013",0
"Jan 15, 2013",0
"Jan 16, 2013",0
"Jan 17, 2013",0
"Jan 18, 2013",13.012
"Jan 19, 2013",0
"Jan 20, 2013",0
"Jan 21, 2013",0
"Jan 22, 2013",0
"Jan 23, 2013",0
"Jan 24, 2013",0
"Jan 25, 2013",0
"Jan 26, 2013",0
"Jan 27, 2013",0
"Jan 28, 2013",0
"Jan 29, 2013",0
"Jan 30, 2013",0
"Jan 31, 2013",0
"Feb 1, 2013",0
"Feb 2, 2013",0
"Feb 3, 2013",0
"Feb 4, 2013",0
"Feb 5, 2013",11.31
"Feb 6, 2013",0
"Feb 7, 2013",0
"Feb 8, 2013",0
"Feb 9, 2013",0
"Feb 10, 2013",0
"Feb 11, 2013",0
"Feb 12, 2013",0
"Feb 13, 2013",0
"Feb 14, 2013",0
"Feb 15, 2013",13.672
"Feb 16, 2013",34.028
"Feb 17, 2013",0
"Feb 18, 2013",0
"Feb 19, 2013",0
"Feb 20, 2013",0
"Feb 21, 2013",0
"Feb 22, 2013",0
"Feb 23, 2013",0
"Feb 24, 2013",0
"Feb 25, 2013",0
"Feb 26, 2013",0
"Feb 27, 2013",0
"Feb 28, 2013",0
"Mar 1, 2013",0
"Mar 2, 2013",0
"Mar 3, 2013",0
"Mar 4, 2013",0
"Mar 5, 2013",0
"Mar 6, 2013",13.311
"Mar 7, 2013",0
"Mar 8, 2013",0
"Mar 9, 2013",0
"Mar 10, 2013",0
"Mar 11, 2013",0
"Mar 12, 2013",0
"Mar 13, 2013",0
"Mar 14, 2013",0
"Mar 15, 2013",0
"Mar 16, 2013",0
"Mar 17, 2013",0
"Mar 18, 2013",0
"Mar 19, 2013",0
"Mar 20, 2013",0
"Mar 21, 2013",7.422
"Mar 22, 2013",0
"Mar 23, 2013",0
"Mar 24, 2013",0
"Mar 25, 2013",0
"Mar 26, 2013",0
"Mar 27, 2013",0
"Mar 28, 2013",0
"Mar 29, 2013",0
"Mar 30, 2013",0
"Mar 31, 2013",0
"Apr 1, 2013",0
"Apr 2, 2013",0
"Apr 3, 2013",0
"Apr 4, 2013",0
"Apr 5, 2013",0
"Apr 6, 2013",0
"Apr 7, 2013",0
"Apr 8, 2013",0
"Apr 9, 2013",0
"Apr 10, 2013",0
"Apr 11, 2013",0
"Apr 12, 2013",0
"Apr 13, 2013",0
"Apr 14, 2013",0
"Apr 15, 2013",0
"Apr 16, 2013",3.539
"Apr 17, 2013",7.077
"Apr 18, 2013",3.539
"Apr 19, 2013",10.616
"Apr 20, 2013",3.539
"Apr 21, 2013",9.029
"Apr 22, 2013",0
"Apr 23, 2013",0
"Apr 24, 2013",0
"Apr 25, 2013",0
"Apr 26, 2013",0
"Apr 27, 2013",0
"Apr 28, 2013",4.525
"Apr 29, 2013",2.262
"Apr 30, 2013",4.525
"May 1, 2013",0
"May 2, 2013",0
"May 3, 2013",0
"May 4, 2013",0
"May 5, 2013",0
"May 6, 2013",0
"May 7, 2013",0
"May 8, 2013",0
"May 9, 2013",0
"May 10, 2013",0
"May 11, 2013",0
"May 12, 2013",0
"May 13, 2013",0
"May 14, 2013",0
"May 15, 2013",0
"May 16, 2013",0
"May 17, 2013",0
"May 18, 2013",0
"May 19, 2013",0
"May 20, 2013",0
"May 21, 2013",0
"May 22, 2013",12.732
"May 23, 2013",12.732
"May 24, 2013",0
"May 25, 2013",0
"May 26, 2013",139.03
"May 27, 2013",0
"May 28, 2013",0
"May 29, 2013",0
"May 30, 2013",0
"May 31, 2013",0
"Jun 1, 2013",0
"Jun 2, 2013",0
"Jun 3, 2013",0
"Jun 4, 2013",20.425
"Jun 5, 2013",0
"Jun 6, 2013",27.425
"Jun 7, 2013",0
"Jun 8, 2013",0
"Jun 9, 2013",0
"Jun 10, 2013",27.425
"Jun 11, 2013",0
"Jun 12, 2013",10.085
"Jun 13, 2013",10.085
"Jun 14, 2013",10.085
"Jun 15, 2013",10.085
"Jun 16, 2013",16.458
"Jun 17, 2013",16.458
"Jun 18, 2013",41.144
"Jun 19, 2013",0
"Jun 20, 2013",0
"Jun 21, 2013",22.819
"Jun 22, 2013",7.606
"Jun 23, 2013",30.426
"Jun 24, 2013",15.213
"Jun 25, 2013",7.606
"Jun 26, 2013",8.609
"Jun 27, 2013",8.609
"Jun 28, 2013",8.609
"Jun 29, 2013",0
"Jun 30, 2013",8.609
"Jul 1, 2013",0
"Jul 2, 2013",10.527
"Jul 3, 2013",0
"Jul 4, 2013",5.264
"Jul 5, 2013",5.264
"Jul 6, 2013",21.459
"Jul 7, 2013",0
"Jul 8, 2013",0
"Jul 9, 2013",10.73
"Jul 10, 2013",0
"Jul 11, 2013",0
"Jul 12, 2013",0
"Jul 13, 2013",0
"Jul 14, 2013",15.852
"Jul 15, 2013",0
"Jul 16, 2013",5.023
"Jul 17, 2013",10.046
"Jul 18, 2013",0
"Jul 19, 2013",0
"Jul 20, 2013",0
"Jul 21, 2013",25.031
"Jul 22, 2013",0
"Jul 23, 2013",0
"Jul 24, 2013",8.344
"Jul 25, 2013",0
"Jul 26, 2013",19.943
"Jul 27, 2013",29.915
"Jul 28, 2013",19.943
"Jul 29, 2013",9.972
"Jul 30, 2013",19.943
"Jul 31, 2013",0
"Aug 1, 2013",13.828
"Aug 2, 2013",41.484
"Aug 3, 2013",27.656
"Aug 4, 2013",27.656
"Aug 5, 2013",27.656
"Aug 6, 2013",0
"Aug 7, 2013",0
"Aug 8, 2013",0
"Aug 9, 2013",34.036
"Aug 10, 2013",17.018
"Aug 11, 2013",0
"Aug 12, 2013",0
"Aug 13, 2013",25.327
"Aug 14, 2013",25.327
"Aug 15, 2013",25.327
"Aug 16, 2013",0
"Aug 17, 2013",53.845
"Aug 18, 2013",0
"Aug 19, 2013",0
"Aug 20, 2013",6.416
"Aug 21, 2013",5.369
"Aug 22, 2013",0
"Aug 23, 2013",17.75
"Aug 24, 2013",17.75
"Aug 25, 2013",8.875
"Aug 26, 2013",40.361
"Aug 27, 2013",0
"Aug 28, 2013",0
"Aug 29, 2013",0
"Aug 30, 2013",40.361
"Aug 31, 2013",0
"Sep 1, 2013",93.138
"Sep 2, 2013",74.51
"Sep 3, 2013",0
"Sep 4, 2013",0
"Sep 5, 2013",0
"Sep 6, 2013",0
"Sep 7, 2013",0
"Sep 8, 2013",0
"Sep 9, 2013",0
"Sep 10, 2013",0
"Sep 11, 2013",0
"Sep 12, 2013",0
"Sep 13, 2013",0
"Sep 14, 2013",0
"Sep 15, 2013",0
